PQ공고 NO.,공고일자,사업명,발주처,입찰구분,기초금액,예정금액,예가,업체명,PQ점수,투찰금액,추정예가,낙찰여부
R25BK00962628-000,2025-07-16,김천시 물 재이용 관리계획(변경) 수립 용역,경상북도 김천시,PQ/PP,"603,700,000","607,332,800",100.60,한종+동성+청명,100,"515,949,000",99.96,
R25BK00962628-000,2025-07-16,김천시 물 재이용 관리계획(변경) 수립 용역,경상북도 김천시,PQ/PP,"603,700,000","607,332,800",100.60,동명+동진,99.5,"519,100,000",100.45,
R25BK00962628-000,2025-07-16,김천시 물 재이용 관리계획(변경) 수립 용역,경상북도 김천시,PQ/PP,"603,700,000","607,332,800",100.60,KG+보람,99.5,"517,100,000",100.06,
R25BK00962628-000,2025-07-16,김천시 물 재이용 관리계획(변경) 수립 용역,경상북도 김천시,PQ/PP,"603,700,000","607,332,800",100.60,이산+세연,99.41,"519,520,000",100.5,
R25BK00962628-000,2025-07-16,김천시 물 재이용 관리계획(변경) 수립 용역,경상북도 김천시,PQ/PP,"603,700,000","607,332,800",100.60,도화+주하,99.4,"515,470,000",99.71,
R25BK00962628-000,2025-07-16,김천시 물 재이용 관리계획(변경) 수립 용역,경상북도 김천시,PQ/PP,"603,700,000","607,332,800",100.60,삼안+태성,99.38,"514,140,000",99.45,
R25BK00962628-000,2025-07-16,김천시 물 재이용 관리계획(변경) 수립 용역,경상북도 김천시,PQ/PP,"603,700,000","607,332,800",100.60,수성+청우,99.35,"511,600,000",98.95,
R25BK00962628-000,2025-07-16,김천시 물 재이용 관리계획(변경) 수립 용역,경상북도 김천시,PQ/PP,"603,700,000","607,332,800",100.60,건화+명성,99.3,"520,390,000",100.64,O
R25BK00962628-000,2025-07-16,김천시 물 재이용 관리계획(변경) 수립 용역,경상북도 김천시,PQ/PP,"603,700,000","607,332,800",100.60,경호+다산,99.3,"512,700,000",99.15,
R25BK00962628-000,2025-07-16,김천시 물 재이용 관리계획(변경) 수립 용역,경상북도 김천시,PQ/PP,"603,700,000","607,332,800",100.60,화신+KCI+HEC,99.3,"524,236,000",101.38,
R25BK00962628-000,2025-07-16,김천시 물 재이용 관리계획(변경) 수립 용역,경상북도 김천시,PQ/PP,"603,700,000","607,332,800",100.60,선진+반석,99.21,"523,427,000",101.2,
R25BK00962628-000,2025-07-16,김천시 물 재이용 관리계획(변경) 수립 용역,경상북도 김천시,PQ/PP,"603,700,000","607,332,800",100.60,새론+경화+정,99.13,"515,685,000",99.68,
R25BK00962628-000,2025-07-16,김천시 물 재이용 관리계획(변경) 수립 용역,경상북도 김천시,PQ/PP,"603,700,000","607,332,800",100.60,국성+태양,99.12,"512,581,000",99.08,
R25BK00962628-000,2025-07-16,김천시 물 재이용 관리계획(변경) 수립 용역,경상북도 김천시,PQ/PP,"603,700,000","607,332,800",100.60,제일+한도,98,"528,000,000",101.78,
R25BK00962628-000,2025-07-16,김천시 물 재이용 관리계획(변경) 수립 용역,경상북도 김천시,PQ/PP,"603,700,000","607,332,800",100.60,한주+장맥,95,"540,000,000",103.3,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
